cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Assertion Roulette,Eager Test,Conditional Test Logic,Verbose Test
6,1,1,3,0,,,1,0,1,0,0,0,1,0,0,0,6,1,5,1,0,0,6,0,0,31,0,0,0,0,0,6,0,6,0,6,0,2,0,0,18,1,0,1,0,1,0
10,3,1,6,1,0.0,0.0,3,1,2,1,0,0,2,0,0,0,11,0,10,0,1,0,11,0,4,39,1,0,0,0,0,11,0,11,0,11,0,1,0,0,50,1,0,0,0,0,0
5,16,2,15,0,0.0,0.0,4,0,3,0,1,0,4,0,0,3,4,0,0,4,0,0,1,0,3,29,2,1,4,0,2,1,8,8,1,7,2,0,0,1,25,1025,0,1,1,1,0
13,22,1,33,0,0.0,0.0,9,1,6,0,0,3,9,0,0,1,4,1,0,4,0,0,1,0,13,80,6,2,3,0,0,8,2,19,1,12,2,0,0,0,85,1,4,1,1,0,0
9,13,1,35,0,0.0,0.0,4,1,3,0,0,1,4,0,0,0,18,16,15,3,0,0,18,0,14,241,5,2,1,1,0,9,0,23,2,24,3,12,0,4,206,1,3,1,1,0,0
12,8,1,13,0,0.0,0.0,6,1,5,1,0,0,5,0,0,0,4,2,1,3,0,0,2,0,5,57,0,1,0,1,0,2,5,6,0,8,2,0,1,1,46,1,0,1,0,1,1
16,41,1,36,48,0.0,0.0,12,6,5,5,0,2,7,0,0,0,8,2,0,8,0,0,6,0,14,99,18,3,10,0,10,3,14,29,4,30,4,0,0,6,143,1,1,1,1,1,0
16,9,1,28,4,0.0,0.0,5,3,5,0,0,0,5,0,0,0,4,1,0,4,0,0,4,0,29,85,4,0,0,5,0,6,1,14,4,14,3,0,0,0,53,1,6,0,0,0,0
7,5,2,6,4,0.0,0.0,4,0,3,0,1,0,4,0,0,0,3,2,0,1,2,0,2,0,1,19,1,0,1,0,0,1,1,3,1,3,1,0,0,0,32,1,0,1,0,0,0
151,983,2,993,62248,0.0,0.0,401,9,313,81,3,4,320,0,1,15,38,10,7,31,0,0,21,0,529,3248,263,127,124,33,18,372,108,503,68,456,6,6,2,38,1267,1,155,0,0,0,0
14,67,1,36,0,0.0,0.0,15,5,7,6,0,2,9,0,2,0,4,0,4,0,0,0,4,0,37,207,34,0,19,2,2,12,17,36,10,29,3,0,1,0,119,1,0,1,1,0,0
38,27,2,67,58,0.0,0.0,12,0,4,7,1,0,5,0,0,0,2,0,0,2,0,0,2,0,13,160,16,1,6,0,0,4,2,26,1,32,3,2,2,8,92,1,0,1,1,1,1
10,2,1,8,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,10,1,0,0,0,0,1,0,5,0,2,1,0,0,0,78,1,0,0,0,0,0
7,6,2,8,0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,3,0,0,3,0,0,3,0,1,23,2,1,1,0,0,0,0,7,0,6,2,0,0,0,19,0,0,1,1,1,1
38,30,2,56,0,0.0,0.0,11,1,1,3,1,6,8,0,0,0,15,2,0,15,0,0,9,0,17,137,10,4,6,3,0,6,9,35,5,31,3,0,0,0,119,0,4,1,0,1,1
22,5,1,30,3,0.0,0.0,3,3,1,0,0,2,3,0,0,0,3,3,0,3,0,0,3,0,13,28,3,0,2,0,1,6,6,14,5,13,0,0,0,0,126,1,3,1,0,0,1
17,13,2,22,0,0.0,0.0,4,1,0,1,1,2,3,0,0,0,4,0,0,3,0,1,4,0,4,40,5,1,1,0,0,0,1,13,0,12,2,0,0,0,65,0,0,1,1,1,0
20,23,2,30,22,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,4,71,9,3,4,0,0,3,3,16,1,15,3,0,1,1,57,1,1,1,1,0,0
37,17,1,29,13,0.0,0.0,7,1,0,4,0,3,3,0,0,0,15,3,0,15,0,0,12,0,8,243,4,2,5,0,0,5,8,29,4,24,2,2,1,1,216,1,5,1,0,1,1
12,59,1,50,40,0.0,0.0,13,4,10,3,0,0,11,0,0,0,7,3,1,3,0,3,5,0,13,207,14,4,7,4,0,33,18,49,8,35,3,0,2,0,122,1,5,1,1,0,0
63,102,1,134,642,0.0,0.0,41,5,36,2,0,3,40,0,0,3,11,4,4,7,0,0,10,0,42,407,28,11,16,3,0,23,9,68,7,65,4,4,4,1,406,1,3,1,1,1,1
29,32,1,71,90,0.0,0.0,17,5,12,3,0,2,14,0,0,0,10,6,3,6,0,1,8,0,24,254,8,3,5,2,0,17,20,39,8,35,3,0,1,0,155,1,6,1,1,1,1
5,6,1,4,0,0.0,0.0,6,2,5,1,0,0,5,0,0,0,5,1,3,0,0,2,5,0,2,72,5,0,0,0,0,1,0,5,1,5,0,0,1,0,64,17,0,0,0,1,1
