cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Assertion Roulette,Eager Test,Conditional Test Logic,Verbose Test
12,12,2,19,58,0.0,0.0,12,2,6,6,0,0,6,0,0,0,2,2,1,1,0,0,0,0,5,64,1,0,0,0,0,37,0,6,7,6,0,0,0,0,52,1,0,1,0,0,0
7,7,2,33,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,69,0,0,0,0,0,102,4,9,6,13,1,0,0,4,135,1,0,1,0,0,1
7,1,2,8,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,0,0,0,0,0
4,2,1,9,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,39,2,9,0,6,0,0,0,0,41,1,0,1,1,0,0
7,6,2,21,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,52,0,0,0,0,0,38,4,7,1,9,1,0,0,2,93,1,0,1,0,0,0
7,5,2,16,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0,0,16,4,6,1,6,0,0,0,0,72,1,0,1,0,0,0
6,2,2,7,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,18,0,6,0,5,0,0,0,0,21,1,0,0,0,0,0
11,12,2,41,46,0.0,0.0,12,1,11,1,0,0,11,0,0,0,1,1,0,1,0,0,0,0,16,119,0,0,0,0,0,77,9,13,6,20,1,0,0,7,104,1,0,1,0,0,0
9,12,2,15,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,59,0,0,0,0,6,33,6,6,0,6,1,0,0,0,42,1,0,1,0,1,0
7,8,2,17,3,0.0,0.0,6,2,6,0,0,0,6,0,0,0,1,1,0,1,0,0,0,0,9,49,0,0,2,0,0,26,4,13,1,9,0,0,0,0,47,1,0,1,0,0,0
11,4,2,22,0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,2,2,0,2,0,0,0,0,9,51,0,0,0,0,0,21,5,11,6,10,0,0,0,0,70,1,0,1,0,0,0
11,6,2,28,13,0.0,0.0,6,1,5,1,0,0,5,0,0,0,1,1,0,1,0,0,0,0,10,59,0,0,0,0,0,72,7,11,2,12,1,0,0,2,126,1,0,1,0,0,1
3,1,1,2,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,1,0,1,0,0,0,0,7,1,0,0,0,0,0
