cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,AR,ET,CTL,VT
6,7,1,15,10,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,45,0,2,0,0,0,2,14,13,1,13,1,0,0,3,37,1,0,1,1,0,0
11,10,1,27,16,0.0,0.0,9,0,8,0,1,0,9,0,0,0,1,0,0,1,0,0,1,0,14,75,0,1,0,0,0,27,15,29,0,29,1,0,0,0,36,1,0,1,1,0,0
17,35,1,44,0,0.0,0.0,35,0,35,0,0,0,35,0,0,0,4,2,0,4,0,0,4,0,48,325,0,0,0,0,38,195,119,54,3,54,0,0,0,7,82,1,0,1,1,0,1
13,8,1,36,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,7,111,0,0,0,0,16,106,25,24,0,24,0,0,0,1,39,1,0,1,1,0,1
15,17,1,41,74,0.0,0.0,13,5,8,5,0,0,9,0,0,0,3,3,0,3,0,0,3,0,45,160,2,2,0,0,0,152,56,19,2,19,2,0,0,20,62,1,0,1,0,1,0
13,16,1,51,0,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,2,0,36,219,0,0,0,0,0,129,50,65,0,61,0,0,0,3,59,1,0,1,1,0,1
5,2,1,6,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,11,0,0,0,0,0,2,2,2,0,2,0,0,0,0,12,1,0,1,1,0,0
9,8,1,16,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,11,59,0,0,0,1,0,27,18,19,0,19,1,0,0,0,32,1,0,1,1,0,0
9,8,1,24,8,0.0,0.0,8,0,5,3,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,69,2,0,0,0,0,26,3,24,0,24,0,0,0,2,47,1,0,1,1,0,0
9,6,1,22,15,0.0,0.0,6,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,57,2,0,0,0,0,21,1,7,0,7,0,0,1,2,39,1,0,1,1,0,0
8,7,1,18,21,0.0,0.0,7,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,44,2,0,0,0,0,20,3,10,0,10,0,0,0,3,42,1,0,1,1,0,0
5,7,1,7,21,0.0,0.0,7,1,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,30,1,0,0,0,0,26,2,3,0,3,0,0,0,0,22,1,0,1,0,0,0
9,7,1,21,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,3,91,0,0,0,0,0,66,21,27,0,27,0,0,0,0,30,1,0,1,1,0,0
3,3,1,5,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,4,0,0,0,0,0,0,0,2,10,1,0,0,0,0,0
9,4,1,16,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,6,43,0,0,0,0,0,27,17,15,0,15,0,0,0,1,28,1,0,1,1,0,0
13,48,1,36,235,0.0,0.0,47,0,41,6,0,0,42,0,0,0,10,8,0,10,0,0,10,0,27,341,2,0,0,0,2,115,15,54,0,53,0,0,0,4,72,1,0,1,1,0,0
9,3,1,13,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,3,21,0,0,0,0,1,9,8,5,0,5,0,0,0,0,16,1,0,1,1,0,0
8,7,1,24,9,0.0,0.0,7,0,4,3,0,0,4,0,0,0,1,0,0,1,0,0,0,0,3,68,2,0,0,0,0,22,2,24,0,24,0,0,0,1,45,1,0,1,1,0,0
45,39,4,134,311,0.0,0.0,30,1,19,5,6,0,29,0,0,0,30,19,0,30,0,0,24,0,48,524,4,1,1,1,0,261,42,115,5,126,2,0,4,11,178,1,1,1,1,1,1
7,2,1,6,0,,,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,2,61,0,0,0,0,0,2,2,5,0,5,0,0,2,0,21,1,0,0,0,0,0
5,10,1,15,28,0.0,0.0,8,0,5,3,0,0,5,0,0,0,2,2,0,2,0,0,2,0,8,49,1,2,0,0,0,29,0,9,0,7,1,0,0,3,62,1,0,1,1,1,0
