App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
ExoPlayer,ReusableBufferedOutputStreamTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/ReusableBufferedOutputStream.java,49,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,AtomicFileTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/AtomicFile.java,94,8,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
ExoPlayer,WakeLockManagerTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/WakeLockManager.java,68,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
ExoPlayer,MetadataRetrieverTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/MetadataRetriever.java,192,10,28,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
ExoPlayer,ExoPlayerTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/ExoPlayer.java,9178,221,507,21,0,0,8,8,0,16,4,0,2,5,3,138,0,0,8,6,0,0,35
ExoPlayer,DefaultLivePlaybackSpeedControlTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/DefaultLivePlaybackSpeedControl.java,794,33,47,33,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4,0,0,0,11
ExoPlayer,AudioFocusManagerTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/AudioFocusManager.java,496,28,74,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,1,0,0,6
ExoPlayer,VersionTableTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/database/VersionTable.java,88,11,13,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2
ExoPlayer,SpanUtilTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/span/SpanUtil.java,86,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ExoPlayer,SubripDecoderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/subrip/SubripDecoder.java,236,24,17,10,0,0,0,0,0,29,0,0,0,0,5,1,0,0,0,0,0,0,2
